from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:15657,IDFM:10533,2,60
IDFM:27275,IDFM:27274,2,300
IDFM:488017,IDFM:18659,2,143
IDFM:493662,IDFM:30127,2,348
IDFM:30750,IDFM:30752,2,60
IDFM:484087,IDFM:478384,2,60
IDFM:472386,IDFM:472057,2,108
IDFM:28411,IDFM:monomodalStopPlace:473826,2,367
IDFM:35826,IDFM:25270,2,286
IDFM:28166,IDFM:39894,2,374
IDFM:33444,IDFM:33429,2,364
IDFM:7825,IDFM:22661,2,272
IDFM:monomodalStopPlace:43098,IDFM:411598,2,325
IDFM:22420,IDFM:39476,2,75
IDFM:29448,IDFM:22080,2,303
IDFM:18844,IDFM:19738,2,137
IDFM:42087,IDFM:41851,2,96
IDFM:15446,IDFM:15447,2,216
IDFM:492659,IDFM:32134,2,372
IDFM:483457,IDFM:423165,2,176
IDFM:9878,IDFM:5730,2,242
IDFM:24910,IDFM:30191,2,230
IDFM:413288,IDFM:460846,2,67
IDFM:2686,IDFM:29872,2,379
IDFM:493980,IDFM:11853,2,285
IDFM:39913,IDFM:472644,2,254
IDFM:3519,IDFM:3514,2,344
IDFM:25108,IDFM:490791,2,215
IDFM:30469,IDFM:6079,2,144
IDFM:22061,IDFM:37066,2,185
IDFM:25967,IDFM:monomodalStopPlace:42356,2,367
IDFM:18439,IDFM:12437,2,308
IDFM:28444,IDFM:470688,2,96
IDFM:413314,IDFM:413322,2,175
IDFM:19517,IDFM:19048,2,171
IDFM:14205,IDFM:14206,2,76
IDFM:494308,IDFM:19851,2,72
IDFM:463159,IDFM:463158,2,180
IDFM:488834,IDFM:39606,2,380
IDFM:485645,IDFM:427807,2,282
IDFM:27716,IDFM:26802,2,75
IDFM:477849,IDFM:10243,2,63
IDFM:36831,IDFM:478403,2,168
IDFM:26302,IDFM:22766,2,367
IDFM:491527,IDFM:35871,2,60
IDFM:32400,IDFM:32401,2,349
IDFM:39487,IDFM:463043,2,223
IDFM:26070,IDFM:22552,2,60
IDFM:411695,IDFM:34688,2,281
IDFM:483729,IDFM:22247,2,91
IDFM:493472,IDFM:493471,2,102
IDFM:14571,IDFM:14570,2,60
IDFM:monomodalStopPlace:43230,IDFM:37508,2,217
IDFM:23785,IDFM:37113,2,90
IDFM:416851,IDFM:416989,2,101
IDFM:493451,IDFM:3750,2,377
IDFM:490812,IDFM:monomodalStopPlace:462394,2,400
IDFM:24145,IDFM:30097,2,218
IDFM:30397,IDFM:30436,2,60
IDFM:470774,IDFM:monomodalStopPlace:411387,2,25
IDFM:26875,IDFM:26877,2,122
IDFM:26839,IDFM:24161,2,179
IDFM:10360,IDFM:5274,2,117
IDFM:28207,IDFM:39717,2,60
IDFM:35099,IDFM:35073,2,252
IDFM:493672,IDFM:34335,2,220
IDFM:37299,IDFM:39534,2,67
IDFM:26981,IDFM:25566,2,114
IDFM:30112,IDFM:22013,2,311
IDFM:22511,IDFM:492178,2,92
IDFM:30011,IDFM:28560,2,348
IDFM:40580,IDFM:463238,2,360
IDFM:5771,IDFM:21086,2,107
IDFM:29970,IDFM:23599,2,377
IDFM:14026,IDFM:35033,2,203
IDFM:5317,IDFM:419858,2,379
IDFM:30048,IDFM:14388,2,342
IDFM:22749,IDFM:463189,2,219
